case_id,activity,timestamp,resource,cost,duration
Case_0001,Start,2023-11-24 00:00:00.000000,System,0.0,0.1
Case_0001,Check Form,2023-11-24 03:33:38.212444,Clerk_C,21.001172734764772,0.8348161072232341
Case_0001,Approve,2023-11-25 15:26:17.845510,Manager_A,54.52462562245198,0.2254261435854269
Case_0001,End,2023-11-25 17:28:08.177009,System,0.0,0.1
Case_0002,Start,2023-04-30 00:00:00.000000,System,0.0,0.1
Case_0002,Check Form,2023-04-30 12:37:23.417855,Clerk_A,32.44980251754452,1.574029419383605
Case_0002,Approve,2023-05-01 22:53:02.833482,Manager_B,54.46328419379543,0.8475443653422614
Case_0002,End,2023-05-01 23:57:20.184365,System,0.0,0.1
Case_0003,Start,2023-03-23 00:00:00.000000,System,0.0,0.1
Case_0003,Check Form,2023-03-23 17:03:25.941905,Clerk_B,21.114853666865674,0.8229706431613832
Case_0003,Approve,2023-03-25 06:10:40.569668,Manager_B,29.835818841673202,0.8779954930779679
Case_0003,End,2023-03-25 13:49:08.120510,System,0.0,0.1
Case_0004,Start,2023-01-23 00:00:00.000000,System,0.0,0.1
Case_0004,Check Form,2023-01-23 17:47:01.791938,Clerk_C,14.993046514128373,1.8834430580422399
Case_0004,Approve,2023-01-23 23:24:31.104740,Manager_B,53.867607262838106,0.7636574689719389
Case_0004,End,2023-01-24 00:54:45.750333,System,0.0,0.1
Case_0005,Start,2023-04-27 00:00:00.000000,System,0.0,0.1
Case_0005,Check Form,2023-04-27 18:46:50.058617,Clerk_A,44.21270884060588,1.7997255001329044
Case_0005,Approve,2023-04-28 14:15:58.961483,Manager_B,33.13270485780424,0.4842165601820172
Case_0005,End,2023-04-28 22:38:17.898388,System,0.0,0.1
Case_0006,Start,2023-12-26 00:00:00.000000,System,0.0,0.1
Case_0006,Check Form,2023-12-26 22:32:34.999863,Clerk_C,12.856100383141932,1.4524674322955904
Case_0006,Approve,2023-12-28 01:06:48.563499,Manager_B,43.97277208788239,0.9916186805092762
Case_0006,End,2023-12-28 09:09:12.553989,System,0.0,0.1
Case_0007,Start,2023-10-13 00:00:00.000000,System,0.0,0.1
Case_0007,Check Form,2023-10-13 06:03:04.136405,Clerk_B,43.714076807592384,1.6639998673193672
Case_0007,Approve,2023-10-13 18:35:14.497122,Manager_B,45.05823935111645,0.25295088416923783
Case_0007,End,2023-10-14 05:37:54.687640,System,0.0,0.1
Case_0008,Start,2023-10-18 00:00:00.000000,System,0.0,0.1
Case_0008,Check Form,2023-10-18 21:09:23.239472,Clerk_B,18.505061762165624,1.248846889238416
Case_0008,Approve,2023-10-20 15:51:06.769756,Manager_A,38.24400832490262,0.3973020061551868
Case_0008,End,2023-10-20 23:01:36.947869,System,0.0,0.1
Case_0009,Start,2023-05-15 00:00:00.000000,System,0.0,0.1
Case_0009,Check Form,2023-05-15 18:10:52.743605,Clerk_B,45.912915344099076,1.099100757710596
Case_0009,Reject,2023-05-16 06:16:12.261321,Manager_B,17.27273530434485,0.21413491262742038
Case_0009,End,2023-05-16 07:49:05.945667,System,0.0,0.1
Case_0010,Start,2023-11-18 00:00:00.000000,System,0.0,0.1
Case_0010,Check Form,2023-11-18 04:40:46.509743,Clerk_C,26.88639867198736,0.5952915592279358
Case_0010,Reject,2023-11-19 00:14:02.663588,Manager_B,39.276959440340455,0.4582339106703494
Case_0010,End,2023-11-19 01:17:29.321983,System,0.0,0.1
Case_0011,Start,2023-02-28 00:00:00.000000,System,0.0,0.1
Case_0011,Check Form,2023-02-28 16:40:45.618555,Clerk_C,40.03511198366439,1.652898098986169
Case_0011,Approve,2023-03-01 10:19:38.676889,Manager_A,47.686185316460325,0.9630527420168642
Case_0011,End,2023-03-01 20:57:42.453328,System,0.0,0.1
Case_0012,Start,2023-05-15 00:00:00.000000,System,0.0,0.1
Case_0012,Check Form,2023-05-15 23:21:12.334586,Clerk_A,30.30726698417301,0.6596162341965575
Case_0012,Reject,2023-05-17 06:07:02.046641,Manager_A,18.82098171374087,0.4287532400225454
Case_0012,End,2023-05-17 09:48:50.869183,System,0.0,0.1
Case_0013,Start,2023-09-29 00:00:00.000000,System,0.0,0.1
Case_0013,Check Form,2023-09-29 22:07:31.261336,Clerk_C,22.966242280186925,0.5292151135787484
Case_0013,Reject,2023-10-01 18:51:49.992189,Manager_B,20.98630775845147,0.2722614777341699
Case_0013,End,2023-10-01 22:42:02.417175,System,0.0,0.1
Case_0014,Start,2023-02-10 00:00:00.000000,System,0.0,0.1
Case_0014,Check Form,2023-02-10 02:58:12.105831,Clerk_B,42.64093013680354,1.9669767405160012
Case_0014,Approve,2023-02-11 05:28:28.247505,Manager_B,72.34243398524954,0.33210156717930217
Case_0014,End,2023-02-11 12:16:44.129487,System,0.0,0.1
Case_0015,Start,2023-11-07 00:00:00.000000,System,0.0,0.1
Case_0015,Check Form,2023-11-07 10:43:55.821449,Clerk_A,47.156539720087075,1.6328977949537082
Case_0015,Approve,2023-11-08 20:27:57.901325,Manager_B,74.75746783304473,0.7199024461115628
Case_0015,End,2023-11-09 02:17:06.664648,System,0.0,0.1
Case_0016,Start,2023-09-22 00:00:00.000000,System,0.0,0.1
Case_0016,Check Form,2023-09-22 11:23:03.052507,Clerk_A,18.987893481262294,1.007128343221183
Case_0016,Approve,2023-09-23 16:26:46.976284,Manager_A,25.359541949254677,0.7662727572387633
Case_0016,End,2023-09-23 18:05:38.377452,System,0.0,0.1
Case_0017,Start,2023-02-04 00:00:00.000000,System,0.0,0.1
Case_0017,Check Form,2023-02-04 21:49:28.777077,Clerk_B,12.834293995546137,0.8570069515534928
Case_0017,Approve,2023-02-06 06:35:51.497163,Manager_A,61.16762829404854,0.9059064601125901
